name,country,genre,link
13_Days_Before_Suicide,Germany,Melodic Death Metal,<a href='https://www.metal-archives.com/bands/13_Days_Before_Suicide/3540366592'>13 Days Before Suicide</a>
13_Killings,United States,Metalcore,<a href='https://www.metal-archives.com/bands/13_Killings/114945'>13 Killings</a>
13_Lashes,Canada,Metalcore,<a href='https://www.metal-archives.com/bands/13_Lashes/3540317973'>13 Lashes</a>
13_Left_to_Die,Spain,"Thrash Metal, Metalcore",<a href='https://www.metal-archives.com/bands/13_Left_to_Die/3540340914'>13 Left to Die</a>
13_Mag,United States,Southern Groove Metal,<a href='https://www.metal-archives.com/bands/13_Mag/3540344198'>13 Mag</a>
13_Winters,United States,Symphonic Black Metal,<a href='https://www.metal-archives.com/bands/13_Winters/19788'>13 Winters</a>
13-Digits,France,Progressive Metal/Rock,<a href='https://www.metal-archives.com/bands/13-Digits/3540297117'>13-Digits</a>
1349,Norway,Black Metal,<a href='https://www.metal-archives.com/bands/1349/5575'>1349</a>
1369,United States,Thrash/Groove Metal,<a href='https://www.metal-archives.com/bands/1369/3540293316'>1369</a>
137,United States,Sludge/Doom Metal,<a href='https://www.metal-archives.com/bands/137/14565'>137</a>
1389,Bosnia and Herzegovina,Raw Black Metal,<a href='https://www.metal-archives.com/bands/1389/3540270259'>1389</a>
13Down,United States,Groove Metal,<a href='https://www.metal-archives.com/bands/13Down/3540335362'>13Down</a>
13Even,United States,Thrash Metal,<a href='https://www.metal-archives.com/bands/13Even/3540259634'>13Even</a>
13lackHan,Turkey,Black Metal,<a href='https://www.metal-archives.com/bands/13lackHan/3540427244'>13lackHan</a>
13Nerve,Italy,Groove/Death Metal,<a href='https://www.metal-archives.com/bands/13Nerve/124130'>13Nerve</a>
13Rituals,Romania,Deathcore,<a href='https://www.metal-archives.com/bands/13Rituals/3540293546'>13Rituals</a>
13th_Cadaver,United States,Death Metal,<a href='https://www.metal-archives.com/bands/13th_Cadaver/79118'>13th Cadaver</a>
